date,all time high,all time high year,lowest high,lowest high year,highest low,highest low year,all time low,all time low year
12-20,67.0,1954,-3.0,1990,38.0,1981,-16.0,1983
12-21,66.0,2017,-8.0,1983,32.0,1955,-21.0,1983
12-22,70.0,1955,-5.0,1983,40.0,1955,-25.0,1990
12-23,73.0,1955,-5.0,1983,50.0,1955,-17.0,1990
12-24,70.0,1955,-4.0,1983,38.0,1964,-16.0,1983
12-25,66.0,1971,13.0,1962,33.0,1950,-10.0,1983
12-26,69.0,2005,16.0,2012,37.0,1980,-5.0,1982
12-27,75.0,1980,11.0,2017,41.0,1980,-4.0,1967
12-28,61.0,1984,15.0,1983,33.0,1984,-12.0,1983
12-29,67.0,1965,2.0,1990,39.0,1996,-15.0,1983
12-30,71.0,1980,11.0,1978,36.0,1996,-8.0,1990
12-31,65.0,2016,0.0,2014,35.0,1996,-13.0,2014
