"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-04","90","46","72"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-05","93","49","76"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-06","88","49","78"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-07","81","49","69"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-08","69","50","63"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-09","78","51","68"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-10","74","53","65"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-11","80","56","66"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-12","81","53","71"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-13","78","53","68"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-14","76","56","68"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-15","84","45","76"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-16","91","45","77"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-17","82","51","70"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-18","81","53","72"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-19","83","48","73"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-20","87","47","71"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-21","89","46","73"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-22","89","48","78"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-23","101","42","89"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-24","104","53","94"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-25","101","49","80"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-26","88","45","68"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-09-27","80","45","66"
