"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-01",,,"0.00","0.0","0.0",,"90","62","62"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-02",,,"0.00","0.0","0.0",,"92","57","57"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-03",,,"0.00","0.0","0.0",,"73","57","58"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-04",,,"0.00","0.0","0.0",,"79","57","57"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-05",,,"0.00","0.0","0.0",,"69","57","58"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-06",,,"0.00","0.0","0.0",,"68","56","57"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-07",,,"0.00","0.0","0.0",,"71","57","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-08",,,"0.00","0.0","0.0",,"68","56","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-09",,,"0.00","0.0","0.0",,"74","54","64"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-10",,,"0.00","0.0","0.0",,"78","53","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-11",,,"0.00","0.0","0.0",,"80","53","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-08-12",,,"0.00","0.0","0.0",,"75","53","54"
